,Pais,Data,Decklist,Evento,Formato,Heroi,Resultado,Link do deck,Tipo de evento,Classe,Talento,Idade
10,United States of America,28 Feb 2026,"June Lekstutis – Vynnset, Iron Maiden – Calling: Montréal",Calling: Montréal,Classic Constructed,"Vynnset, Iron Maiden",2nd,https://fabtcg.com/decklists/june-lekstutis-vynnset-iron-maiden-calling-montreal-2026/,calling,['Runeblade'],['Shadow'],['Adult']
11,United States of America,28 Feb 2026,"Wesley Dong – Kayo, Armed and Dangerous – Calling: Montréal",Calling: Montréal,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/wesley-dong-kayo-armed-and-dangerous-calling-montreal-2026/,calling,['Brute'],['nenhum'],['Adult']
12,Canada,28 Feb 2026,"Nauris Rozenfelds – Ira, Scarlet Revenger – Calling: Montréal",Calling: Montréal,Classic Constructed,"Ira, Scarlet Revenger",3rd,https://fabtcg.com/decklists/nauris-rozenfelds-ira-scarlet-revenger-calling-montreal-2026/,calling,['Ninja'],['nenhum'],['Adult']
13,United States of America,28 Feb 2026,"Jo Burch – Oscilio, Constella Intelligence – Calling: Montréal",Calling: Montréal,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/jo-burch-oscilio-constella-intelligence-calling-montreal-2026/,calling,['Wizard'],['Elemental'],['Adult']
14,United States of America,28 Feb 2026,"Michael Hamilton – Oscilio, Constella Intelligence – Calling: Montréal",Calling: Montréal,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/michael-hamilton-oscilio-constella-intelligence-calling-montreal-2026/,calling,['Wizard'],['Elemental'],['Adult']
15,United States of America,28 Feb 2026,"Naib Mobassir – Fai, Rising Rebellion – Calling: Montréal",Calling: Montréal,Classic Constructed,"Fai, Rising Rebellion",5th,https://fabtcg.com/decklists/naib-mobassir-fai-rising-rebellion-calling-montreal-2026/,calling,['Ninja'],['Draconic'],['Adult']
16,Canada,28 Feb 2026,Joseph Surowaniec – Dorinthea Ironsong – Calling: Montréal,Calling: Montréal,Classic Constructed,Dorinthea Ironsong,5th,https://fabtcg.com/decklists/joseph-surowaniec-dorinthea-ironsong-calling-montreal-2026/,calling,['Warrior'],['nenhum'],['Adult']
17,Japan,21 Feb 2026,智彰 吉村 – Enigma – Heroes Scramble,ヒーローズスクランブル大阪,Silver Age,Enigma,1st,https://fabtcg.com/decklists/enigma/,outro,['Illusionist'],['Mystic'],['Young']
18,Japan,21 Feb 2026,"Masaaki Ochi – Ira, Crimson Haze – Heroes Scramble",ヒーローズスクランブル大阪,Silver Age,"Ira, Crimson Haze",2nd,https://fabtcg.com/decklists/masaaki-ochi-ira-crimson-haze/,outro,['Ninja'],['nenhum'],['Young']
19,Japan,21 Feb 2026,Shoki Imacho – Oldhim – Heroes Scramble,ヒーローズスクランブル大阪,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/shoki-imacho-oldhim/,outro,['Guardian'],['Elemental'],['Young']
20,Philippines,20 Feb 2026,Justin Cu – Lyath Goldmane – Primed to Fight,Primed to Fight,Silver Age,Lyath Goldmane,nao informado,https://fabtcg.com/decklists/justin-cu-lyath-goldmane-primed-to-fight/,primed to fight,['Guardian'],['Reviled'],['Young']
21,Philippines,20 Feb 2026,Justin Cu – Zen – Primed to Fight,Primed to Fight,Silver Age,Zen,nao informado,https://fabtcg.com/decklists/justin-cu-zen-primed-to-fight/,primed to fight,['Ninja'],['Mystic'],['Young']
22,United States of America,15 Feb 2026,Ryan Brown – Kano – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Kano,1st,https://fabtcg.com/decklists/ryan-brown-kano-sunday-9am-showdown/,sunday showdown,['Wizard'],['nenhum'],['Young']
23,United States of America,15 Feb 2026,Josh Lind – Dorinthea – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Dorinthea,2nd,https://fabtcg.com/decklists/josh-lind-dorinthea-sunday-9am-showdown-2/,sunday showdown,['Warrior'],['nenhum'],['Young']
24,United States of America,15 Feb 2026,John Kim – Briar – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Briar,3rd,https://fabtcg.com/decklists/john-kim-briar-sunday-9am-showdown/,sunday showdown,['Runeblade'],['Elemental'],['Young']
25,Canada,15 Feb 2026,Michael Jaszczur – Kano – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Kano,3rd,https://fabtcg.com/decklists/michael-jaszczur-kano-sunday-9am-showdown/,sunday showdown,['Wizard'],['nenhum'],['Young']
26,United States of America,15 Feb 2026,Thomas Huynh – Enigma – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Enigma,5th,https://fabtcg.com/decklists/thomas-huynh-enigma-sunday-9am-showdown/,sunday showdown,['Illusionist'],['Mystic'],['Young']
27,United States of America,15 Feb 2026,Zayne Johnson – Briar – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Briar,5th,https://fabtcg.com/decklists/zayne-johnson-briar-sunday-9am-showdown/,sunday showdown,['Runeblade'],['Elemental'],['Young']
28,United States of America,15 Feb 2026,Zachary Wallach – Kayo – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Kayo,5th,https://fabtcg.com/decklists/zachary-wallach-kayo-sunday-9am-showdown/,sunday showdown,['Brute'],['nenhum'],['Young']
29,United States of America,15 Feb 2026,Dennis Pham – Dorinthea – Sunday Showdown: San Diego,Sunday Showdown: San Diego,Silver Age,Dorinthea,5th,https://fabtcg.com/decklists/dennis-pham-dorinthea-sunday-9am-showdown/,sunday showdown,['Warrior'],['nenhum'],['Young']
30,United Kingdom,14 Feb 2026,Jacob Clements – Kano – Calling: San Diego,Calling: San Diego,Silver Age,Kano,1st,https://fabtcg.com/decklists/jacob-clements-kano-calling-san-diego-2026-silver-age/,calling,['Wizard'],['nenhum'],['Young']
31,United States of America,14 Feb 2026,Michael Feng – Briar – Calling: San Diego,Calling: San Diego,Silver Age,Briar,2nd,https://fabtcg.com/decklists/michael-feng-briar-calling-san-diego-2026-silver-age/,calling,['Runeblade'],['Elemental'],['Young']
32,United States of America,14 Feb 2026,Jude Cornett – Enigma – Calling: San Diego,Calling: San Diego,Silver Age,Enigma,3rd,https://fabtcg.com/decklists/jude-cornett-enigma-calling-san-diego-2026-silver-age/,calling,['Illusionist'],['Mystic'],['Young']
33,United States of America,14 Feb 2026,Alexander Vore – Kano – Calling: San Diego,Calling: San Diego,Silver Age,Kano,3rd,https://fabtcg.com/decklists/alexander-vore-kano-calling-san-diego-2026-silver-age-2/,calling,['Wizard'],['nenhum'],['Young']
34,United States of America,14 Feb 2026,Jonah Overholt – Dorinthea – Calling: San Diego,Calling: San Diego,Silver Age,Dorinthea,5th,https://fabtcg.com/decklists/jonah-overholt-dorinthea-calling-san-diego-2026-silver-age/,calling,['Warrior'],['nenhum'],['Young']
35,United States of America,14 Feb 2026,Brodie Spurlock – Briar – Calling: San Diego,Calling: San Diego,Silver Age,Briar,5th,https://fabtcg.com/decklists/brodie-spurlock-briar-calling-san-diego-2026-silver-age/,calling,['Runeblade'],['Elemental'],['Young']
36,United States of America,14 Feb 2026,Evan Bridges – Kayo – Calling: San Diego,Calling: San Diego,Silver Age,Kayo,5th,https://fabtcg.com/decklists/evan-bridges-kayo-calling-san-diego-2026-silver-age/,calling,['Brute'],['nenhum'],['Young']
37,United States of America,14 Feb 2026,Taotao Chu – Nuu – Calling: San Diego,Calling: San Diego,Silver Age,Nuu,5th,https://fabtcg.com/decklists/taotao-chu-nuu-calling-san-diego-2026-silver-age/,calling,['Assassin'],['Mystic'],['Young']
38,France,13 Feb 2026,Arthur Trehet – Dromai – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Dromai,nao informado,https://fabtcg.com/decklists/arthur-trehet-dromai-silver-age-spotlight/,silver age spotlight,['Illusionist'],['Draconic'],['Young']
39,Spain,12 Feb 2026,Pablo Pintor – briar – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Briar,nao informado,https://fabtcg.com/decklists/pablo-pintor-briar-silver-age-spotlight/,silver age spotlight,['Runeblade'],['Elemental'],['Young']
40,United States of America,11 Feb 2026,Majin Bae – Kano – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Kano,nao informado,https://fabtcg.com/decklists/majin-bae-kano-silver-age-spotlight/,silver age spotlight,['Wizard'],['nenhum'],['Young']
41,Canada,10 Feb 2026,Yuki Lee Bender – Lexi – Silver Age Spotlight,Silver Age Spotlight,Silver Age,Lexi,nao informado,https://fabtcg.com/decklists/yuki-lee-bender-lexi-silver-age-spotlight/,silver age spotlight,['Ranger'],['Elemental'],['Young']
42,United Kingdom,08 Feb 2026,Jacob Clements – Kano – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kano,1st,https://fabtcg.com/decklists/jacob-clements-kano-sunday-showdown-london/,sunday showdown,['Wizard'],['nenhum'],['Young']
43,France,08 Feb 2026,Arthur Trehet – Kano – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kano,2nd,https://fabtcg.com/decklists/arthur-trehet-kano-sunday-showdown-london/,sunday showdown,['Wizard'],['nenhum'],['Young']
44,Germany,08 Feb 2026,Fabian Schunn – Kayo – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kayo,3rd,https://fabtcg.com/decklists/fabian-schunn-kayo-sunday-showdown-london/,sunday showdown,['Brute'],['nenhum'],['Young']
45,United Kingdom,08 Feb 2026,Ashkan Rashid-Sanaty – Kayo – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Kayo,3rd,https://fabtcg.com/decklists/ashkan-rashid-sanaty-kayo-sunday-showdown-london/,sunday showdown,['Brute'],['nenhum'],['Young']
46,Poland,08 Feb 2026,Bartosz Ziemba – Briar – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Briar,5th,https://fabtcg.com/decklists/bartosz-ziemba-briar-sunday-showdown-london/,sunday showdown,['Runeblade'],['Elemental'],['Young']
47,Switzerland,08 Feb 2026,Lars Seebacher – Fai – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Fai,5th,https://fabtcg.com/decklists/lars-seebacher-fai-sunday-showdown-london/,sunday showdown,['Ninja'],['Draconic'],['Young']
48,Belgium,08 Feb 2026,Matthias Verbeeck – Briar – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Briar,5th,https://fabtcg.com/decklists/matthias-verbeeck-briar-sunday-showdown-london/,sunday showdown,['Runeblade'],['Elemental'],['Young']
49,Canada,08 Feb 2026,Noah Clark – Enigma – Sunday Showdown: London,Sunday Showdown: London,Silver Age,Enigma,5th,https://fabtcg.com/decklists/noah-clark-enigma-sunday-showdown-london/,sunday showdown,['Illusionist'],['Mystic'],['Young']
50,Netherlands,07 Feb 2026,Paul van Gijssel – Briar – Calling: London,Calling: London,Silver Age,Briar,1st,https://fabtcg.com/decklists/paul-van-gijssel-briar-calling-london/,calling,['Runeblade'],['Elemental'],['Young']
51,United Kingdom,07 Feb 2026,Kiran Lee – Dorinthea – Calling: London,Calling: London,Silver Age,Dorinthea,2nd,https://fabtcg.com/decklists/kiran-lee-dorinthea-calling-london/,calling,['Warrior'],['nenhum'],['Young']
52,Sweden,07 Feb 2026,Stefan Karlsson – Olympia – Calling: London,Calling: London,Silver Age,Olympia,3rd,https://fabtcg.com/decklists/stefan-karlsson-olympia-calling-london/,calling,['Warrior'],['nenhum'],['Young']
53,Belgium,07 Feb 2026,Niels Debosschere – Kayo – Calling: London,Calling: London,Silver Age,Kayo,3rd,https://fabtcg.com/decklists/niels-debosschere-kayo-calling-london/,calling,['Brute'],['nenhum'],['Young']
54,Italy,07 Feb 2026,Gianluigi Lia – Oldhim – Calling: London,Calling: London,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/gianluigi-lia-oldhim-calling-london/,calling,['Guardian'],['Elemental'],['Young']
55,United States of America,07 Feb 2026,Pierre-Nicolas Perrin – Dorinthea – Calling: London,Calling: London,Silver Age,Dorinthea,5th,https://fabtcg.com/decklists/pierre-nicolas-perrin-dorinthea-calling-london/,calling,['Warrior'],['nenhum'],['Young']
56,Belgium,07 Feb 2026,Sammy Weckx – Kayo – Calling: London,Calling: London,Silver Age,Kayo,5th,https://fabtcg.com/decklists/sammy-weckx-kayo-calling-london/,calling,['Brute'],['nenhum'],['Young']
57,Germany,07 Feb 2026,"Kevin Gehringer – Bravo, Flattering Showman – Calling: London",Calling: London,Silver Age,"Bravo, Flattering Showman",5th,https://fabtcg.com/decklists/kevin-gehringer-bravo-flattering-showman-calling-london/,calling,['Guardian'],['nenhum'],['Young']
58,Philippines,31 Jan 2026,"Justin Cu – Gravy Bones, Shipwrecked Looter – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/justin-cu-gravy-bones-shipwrecked-looter-battle-hardened-bangkok-2026/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
59,Thailand,31 Jan 2026,"Jaturone Chairungsri – Valda, Seismic Impact – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Valda, Seismic Impact",2nd,https://fabtcg.com/decklists/jaturone-chairungsri-valda-seismic-impact-battle-hardened-bangkok-2026/,battle hardened,['Guardian'],['nenhum'],['Adult']
60,Thailand,31 Jan 2026,"Wipu Junkeaw – Pleiades, Superstar – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Pleiades, Superstar",3rd,https://fabtcg.com/decklists/wipu-junkeaw-pleiades-superstar-battle-hardened-bangkok-2026/,battle hardened,['Guardian'],['Revered'],['Adult']
61,Taiwan,31 Jan 2026,Xincheng Hou – Dash I/O – Battle Hardened: Bangkok,Battle Hardened: Bangkok,Classic Constructed,Dash I/O,3rd,https://fabtcg.com/decklists/xincheng-hou-dash-io-battle-hardened-bangkok-2026/,battle hardened,['Mechanologist'],['nenhum'],['Adult']
62,Singapore,31 Jan 2026,"Gordon Koh Koh – Cindra, Dracai of Retribution – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/gordon-koh-koh-cindra-dracai-of-retribution-battle-hardened-bangkok-2026/,battle hardened,['Ninja'],['Royal' 'Draconic'],['Adult']
63,Thailand,31 Jan 2026,Worranun Suklim – Dash I/O – Battle Hardened: Bangkok,Battle Hardened: Bangkok,Classic Constructed,Dash I/O,5th,https://fabtcg.com/decklists/worranun-suklim-dash-io-battle-hardened-bangkok-2026/,battle hardened,['Mechanologist'],['nenhum'],['Adult']
64,Thailand,31 Jan 2026,"Chanon Puttaree – Prism, Awakener of Sol – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/chanon-puttaree-prism-awakener-of-sol-battle-hardened-bangkok-2026-2/,battle hardened,['Illusionist'],['Light'],['Adult']
65,Thailand,31 Jan 2026,"Jakob Kernstock – Arakni, Marionette – Battle Hardened: Bangkok",Battle Hardened: Bangkok,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/jakob-kernstock-arakni-marionette-battle-hardened-bangkok-2026/,battle hardened,['Assassin'],['Chaos'],['Adult']
66,United Kingdom,30 Jan 2026,"Jacob Clements – Arakni, Marionette – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/jacob-clements-arakni-marionette-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Assassin'],['Chaos'],['Adult']
67,Brazil,30 Jan 2026,"Josh Oliveira – Gravy Bones, Shipwrecked Looter – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Gravy Bones, Shipwrecked Looter",2nd,https://fabtcg.com/decklists/josh-oliveira-gravy-bones-shipwrecked-looter-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
68,United States of America,30 Jan 2026,"Brodie Spurlock – Kayo, Armed and Dangerous – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/brodie-spurlock-kayo-armed-and-dangerous-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Brute'],['nenhum'],['Adult']
69,Brazil,30 Jan 2026,"Miguel Ardovino – Gravy Bones, Shipwrecked Looter – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/miguel-ardovino-gravy-bones-shipwrecked-looter-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
70,Brazil,30 Jan 2026,"Átila Lima – Verdance, Thorn of the Rose – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/atila-lima-verdance-thorn-of-the-rose-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Wizard'],['Elemental'],['Adult']
71,Brazil,30 Jan 2026,Ivan Taranto – Kassai of the Golden Sand – Battle Hardened: Rio de Janiero,Battle Hardened: Rio de Janiero,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/ivan-taranto-kassai-of-the-golden-sand-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Warrior'],['nenhum'],['Adult']
72,Brazil,30 Jan 2026,"Breno Minghelli – Verdance, Thorn of the Rose – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/breno-minghelli-verdance-thorn-of-the-rose-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Wizard'],['Elemental'],['Adult']
73,Brazil,30 Jan 2026,"Max Dieckmann – Gravy Bones, Shipwrecked Looter – Battle Hardened: Rio de Janiero",Battle Hardened: Rio de Janiero,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/max-dieckmann-gravy-bones-shipwrecked-looter-cards-of-paradise-battle-hardened-rio-de-janeiro/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
74,Netherlands,24 Jan 2026,"Paul van Gijssel – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/paul-van-gijssel-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened,['Assassin'],['Chaos'],['Adult']
75,Bulgaria,24 Jan 2026,"Valentin Popov – Verdance, Thorn of the Rose – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Verdance, Thorn of the Rose",2nd,https://fabtcg.com/decklists/valentin-popov-verdance-thorn-of-the-rose-battle-hardened-ludotrotter-charleroi/,battle hardened,['Wizard'],['Elemental'],['Adult']
76,Netherlands,24 Jan 2026,"Jimmy Nguyen – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",3rd,https://fabtcg.com/decklists/jimmy-nguyen-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened,['Assassin'],['Chaos'],['Adult']
77,Bulgaria,24 Jan 2026,"Bernar Aganchyan – Prism, Awakener of Sol – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Prism, Awakener of Sol",3rd,https://fabtcg.com/decklists/bernar-aganchyan-prism-awakener-of-sol-battle-hardened-ludotrotter-charleroi/,battle hardened,['Illusionist'],['Light'],['Adult']
78,Belgium,24 Jan 2026,"Dominic Ally – Cindra, Dracai of Retribution – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/dominic-ally-cindra-dracai-of-retribution-battle-hardened-ludotrotter-charleroi/,battle hardened,['Ninja'],['Royal' 'Draconic'],['Adult']
79,Bulgaria,24 Jan 2026,"Vasil Popov – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/vasil-popov-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened,['Assassin'],['Chaos'],['Adult']
80,Netherlands,24 Jan 2026,"Sander Neeft – Arakni, Marionette – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/sander-neeft-arakni-marionette-battle-hardened-ludotrotter-charleroi/,battle hardened,['Assassin'],['Chaos'],['Adult']
81,Slovenia,24 Jan 2026,"Jean Luka Zorko – Gravy Bones, Shipwrecked Looter – Battle Hardened: Charleroi",Battle Hardened: Charleroi,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/jean-luka-zorko-gravy-bones-shipwrecked-looter-battle-hardened-ludotrotter-charleroi/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
82,United States of America,24 Jan 2026,"Michael Feng – Gravy Bones, Shipwrecked Looter – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/michael-feng-gravy-bones-shipwrecked-looter-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
83,United States of America,24 Jan 2026,"Jude Cornett – Kayo, Armed and Dangerous – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Kayo, Armed and Dangerous",2nd,https://fabtcg.com/decklists/jude-cornett-kayo-armed-and-dangerous-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Brute'],['nenhum'],['Adult']
84,United States of America,24 Jan 2026,"Brodie Spurlock – Kayo, Armed and Dangerous – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/brodie-spurlock-kayo-armed-and-dangerous-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Brute'],['nenhum'],['Adult']
85,United States of America,24 Jan 2026,"Corwin Benton – Cindra, Dracai of Retribution – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/corwin-benton-cindra-dracai-of-retribution-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Ninja'],['Royal' 'Draconic'],['Adult']
86,United States of America,24 Jan 2026,"Luke Putz – Verdance, Thorn of the Rose – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/luke-putz-verdance-thorn-of-the-rose-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Wizard'],['Elemental'],['Adult']
87,United States of America,24 Jan 2026,"May Hayden – Gravy Bones, Shipwrecked Looter – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/may-hayden-gravy-bones-shipwrecked-looter-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Pirate' 'Necromancer'],['nenhum'],['Adult']
88,Canada,24 Jan 2026,Hayden Jeanson – Jarl Vetreiði – Battle Hardened: Portland,Battle Hardened: Portland,Classic Constructed,Jarl Vetreiði,5th,https://fabtcg.com/decklists/hayden-jeanson-jarl-vetreii-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Guardian'],['Elemental'],['Adult']
89,United States of America,24 Jan 2026,"Abtin RAVANIPOUR – Vynnset, Iron Maiden – Battle Hardened: Portland",Battle Hardened: Portland,Classic Constructed,"Vynnset, Iron Maiden",5th,https://fabtcg.com/decklists/abtin-ravanipour-vynnset-iron-maiden-sat-0900-battle-hardened-cc-scg-con-portland/,battle hardened,['Runeblade'],['Shadow'],['Adult']
90,Canada,20 Jan 2026,"Yuki Lee Bender – Arakni, Marionette – Masterclass",Masterclass,Classic Constructed,"Arakni, Marionette",nao informado,https://fabtcg.com/decklists/yuki-lee-bender-arakni-marionette-masterclass/,masterclass,['Assassin'],['Chaos'],['Adult']
91,United States of America,18 Jan 2026,Jonathan Michaud – Briar – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Briar,1st,https://fabtcg.com/decklists/jonathan-michaud-briar-battle-hardened-columbus/,battle hardened,['Runeblade'],['Elemental'],['Young']
92,Canada,18 Jan 2026,Cubi Nguyen – Enigma – Battle Hardened: Columbus,Battle Hardened: Columbus,Silver Age,Enigma,2nd,https://fabtcg.com/decklists/cubi-nguyen-enigma-battle-hardened-columbus/,battle hardened,['Illusionist'],['Mystic'],['Young']
